,행정동_코드,상권_구분_코드,상권_코드,분기당_매출_금액,분기당_매출_건수,건당_매출액_평균,"환산임대료(원, 21년도)","증감율(%, 19-21년도)",임대료/매출,매출/임대료
286,11230710,A,2110208,1162300,140,8282,119783,-1.034,14.4631,0.0691
287,11230710,D,2120064,1563195514,159370,9809,119783,-1.034,12.2115,0.0819
288,11230720,A,2110215,242931772,31179,7792,136766,19.622,17.5521,0.057
289,11230720,A,2110222,102420356,3614,28343,136766,19.622,4.8254,0.2072
290,11230720,A,2110224,117396271,11581,10137,136766,19.622,13.4918,0.0741
291,11230720,D,2120065,686127105,68796,9973,136766,19.622,13.7136,0.0729
292,11230730,A,2110219,346923101,40414,8584,77498,-14.14,9.0282,0.1108
293,11230740,A,2110213,19047600,2012,9465,103207,-0.059,10.9041,0.0917
294,11230740,A,2110214,414028123,68520,6042,103207,-0.059,17.0816,0.0585
295,11230740,A,2110220,652142349,74356,8771,103207,-0.059,11.7668,0.085
296,11260520,A,2110237,720985785,43500,16574,68398,6.131,4.1268,0.2423
297,11260520,A,2110243,274183759,14225,19275,68398,6.131,3.5485,0.2818
298,11260520,A,2110256,194272201,7823,24833,68398,6.131,2.7543,0.3631
299,11260540,A,2110253,284585003,23290,12219,83516,24.542,6.8349,0.1463
300,11260550,A,2110242,104350529,9810,10637,66884,7.656,6.2879,0.159
301,11260550,A,2110252,246516233,10150,24286,66884,7.656,2.754,0.3631
302,11260565,A,2110258,255313079,19879,12843,92787,6.061,7.2247,0.1384
303,11260565,A,2110260,218744586,12225,17893,92787,6.061,5.1857,0.1928
304,11260565,A,2110263,273817137,28803,9507,92787,6.061,9.7599,0.1025
305,11260565,A,2110264,474478749,39218,12099,92787,6.061,7.669,0.1304
306,11260570,A,2110254,342303432,34876,9815,107653,-4.395,10.9682,0.0912
307,11260570,A,2110261,229680239,30654,7493,107653,-4.395,14.3671,0.0696
308,11260575,A,2110259,421075778,19127,22015,92735,7.307,4.2124,0.2374
309,11260575,A,2110266,114155655,11454,9966,92735,7.307,9.3051,0.1075
310,11260575,A,2110269,429719544,14980,28686,92735,7.307,3.2328,0.3093
311,11260575,A,2110274,267345239,24824,10770,92735,7.307,8.6105,0.1161
312,11260575,D,2120068,731010341,60597,12063,92735,7.307,7.6876,0.1301
313,11260580,A,2110257,87370721,8899,9819,77389,-8.929,7.8816,0.1269
314,11260580,A,2110265,267110044,10583,25239,77389,-8.929,3.0662,0.3261
315,11260580,A,2110267,133490101,15977,8355,77389,-8.929,9.2626,0.108
316,11260590,A,2110246,262986942,22563,11656,86747,-2.147,7.4423,0.1344
317,11260590,A,2110255,596790532,54863,10878,86747,-2.147,7.9745,0.1254
318,11260590,A,2110262,1031509121,61483,16777,86747,-2.147,5.1706,0.1934
319,11260590,D,2120069,1779547657,113345,15700,86747,-2.147,5.5253,0.181
320,11260600,A,2110249,263311748,23544,11184,95281,26.851,8.5194,0.1174
321,11260600,A,2110251,128475339,10218,12573,95281,26.851,7.5782,0.132
322,11260610,A,2110233,409968952,31777,12901,87825,2.623,6.8076,0.1469
323,11260610,A,2110234,246560906,15380,16031,87825,2.623,5.4784,0.1825
324,11260610,A,2110238,48990941,2262,21663,87825,2.623,4.0541,0.2467
325,11260610,A,2110239,229672380,13548,16953,87825,2.623,5.1805,0.193
326,11260610,A,2110240,166242289,7804,21303,87825,2.623,4.1227,0.2426
327,11260610,A,2110244,398804952,29308,13607,87825,2.623,6.4544,0.1549
328,11260610,A,2110245,150496214,14760,10196,87825,2.623,8.6137,0.1161
329,11260620,A,2110247,234042229,19595,11944,103465,9.674,8.6625,0.1154
330,11260620,A,2110248,57770499,3004,19229,103465,9.674,5.3807,0.1859
331,11260620,A,2110250,202200014,14967,13510,103465,9.674,7.6584,0.1306
332,11260630,A,2110236,318612989,27627,11533,83706,14.295,7.258,0.1378
333,11260630,A,2110241,266812284,20054,13305,83706,14.295,6.2913,0.1589
334,11260655,A,2110275,1106720343,58982,18764,92200,14.542,4.9137,0.2035
335,11260655,A,2110277,394057046,27813,14168,92200,14.542,6.5076,0.1537
336,11260655,A,2110278,388333867,32915,11798,92200,14.542,7.8149,0.128
337,11260655,A,2110279,148283832,5896,25150,92200,14.542,3.666,0.2728
338,11260660,A,2110268,193331996,20443,9457,66627,12.422,7.0453,0.1419
339,11260660,A,2110270,190660811,15959,11947,66627,12.422,5.5769,0.1793
340,11260680,A,2110271,396321666,7836,50579,88411,5.241,1.748,0.5721
