,상권_코드,개업률_평균,폐업률_평균
849,2110851,1.9145,1.9189
850,2110852,4.9571,8.7639
851,2110853,7.6674,5.5418
852,2110854,2.0743,1.4191
853,2110855,4.0558,4.168
854,2110856,3.7978,4.5288
855,2110857,2.0754,3.5635
856,2110858,4.1834,4.657
857,2110859,4.625,4.1667
858,2110860,2.8055,2.7083
859,2110861,6.0757,3.6574
860,2110862,6.3583,9.4333
861,2110863,3.8056,3.3241
862,2110864,5.5023,2.875
863,2110865,6.0833,4.3611
864,2110866,5.6257,5.7582
865,2110867,4.9819,3.4393
866,2110868,6.7368,4.3261
867,2110869,5.3982,3.4259
868,2110870,1.6667,1.6667
869,2110871,6.0512,4.1763
870,2110872,4.2381,2.381
871,2110873,5.5555,3.7685
872,2110874,4.5048,2.0132
873,2110875,8.0049,5.2559
874,2110876,6.5283,4.1855
875,2110877,6.091,5.3225
876,2110878,1.1528,2.5417
877,2110879,3.1777,2.5494
878,2110880,2.1875,2.6667
879,2110881,5.25,5.4259
880,2110882,4.5106,3.6228
881,2110883,5.75,5.7685
