,상권_코드,유사_업종_점포_수,개인사업자_점포수,개인사업자_비율
178,2110189,2,1,0.5
179,2110190,7,7,1.0
180,2110191,12,12,1.0
181,2110192,1,0,0.0
182,2110193,5,4,0.8
183,2110194,1,1,1.0
184,2110195,11,9,0.8182
185,2110197,4,3,0.75
186,2110198,1,1,1.0
187,2110199,3,3,1.0
188,2110200,1,1,1.0
189,2110201,1,1,1.0
190,2110203,3,3,1.0
191,2110204,24,21,0.875
192,2110205,17,15,0.8824
193,2110206,8,8,1.0
194,2110207,14,8,0.5714
195,2110208,1,1,1.0
196,2110210,15,7,0.4667
197,2110211,9,8,0.8889
198,2110212,13,9,0.6923
199,2110213,5,5,1.0
200,2110214,20,17,0.85
201,2110215,4,3,0.75
202,2110216,8,6,0.75
203,2110217,1,1,1.0
204,2110218,7,6,0.8571
205,2110219,23,21,0.913
206,2110220,27,13,0.4815
207,2110221,3,2,0.6667
208,2110222,1,1,1.0
209,2110223,1,1,1.0
210,2110226,22,19,0.8636
211,2110227,7,2,0.2857
212,2110228,11,11,1.0
213,2110229,17,14,0.8235
214,2110230,6,6,1.0
215,2110231,1,1,1.0
216,2110232,13,10,0.7692
217,2110233,6,5,0.8333
218,2110234,3,0,0.0
219,2110235,1,0,0.0
220,2110236,9,9,1.0
221,2110237,12,10,0.8333
222,2110240,6,5,0.8333
223,2110241,12,10,0.8333
224,2110242,5,4,0.8
225,2110243,15,14,0.9333
226,2110244,10,5,0.5
227,2110245,1,1,1.0
228,2110246,7,4,0.5714
229,2110247,11,9,0.8182
230,2110248,2,2,1.0
231,2110249,14,12,0.8571
232,2110250,4,3,0.75
233,2110251,6,6,1.0
234,2110252,7,4,0.5714
235,2110253,8,6,0.75
236,2110254,8,7,0.875
237,2110255,11,11,1.0
238,2110256,15,15,1.0
239,2110257,5,2,0.4
240,2110258,6,5,0.8333
241,2110259,7,7,1.0
242,2110260,4,3,0.75
243,2110261,11,8,0.7273
244,2110262,11,11,1.0
245,2110263,8,7,0.875
246,2110264,14,11,0.7857
